iter	Logloss
0	0.6269454538
1	0.5698666007
2	0.5226712831
3	0.4889897564
4	0.4648441556
5	0.4394203344
6	0.4185344632
7	0.404276011
8	0.3938141692
9	0.3814532018
10	0.3713951179
11	0.3613812502
12	0.3544773629
13	0.3489625601
14	0.3422494072
15	0.3373414482
16	0.3323834554
17	0.3274645184
18	0.3253854048
19	0.3222508006
20	0.3210806196
21	0.3205046213
22	0.318520409
23	0.3149808199
24	0.3127978376
25	0.3107076596
26	0.3089682465
27	0.3073745603
28	0.3059034039
29	0.3049090392
30	0.3032857974
31	0.301187718
32	0.2992480621
33	0.2974105521
34	0.2963290064
35	0.2955566799
36	0.2945823956
37	0.2932362429
38	0.2923959234
39	0.2916624625
40	0.2909949073
41	0.2897204369
42	0.2886055708
43	0.2879460845
44	0.2871628694
45	0.2866759207
46	0.2862752239
47	0.2859050397
48	0.2851629539
49	0.2848883618
50	0.284305582
51	0.2838282704
52	0.2831220973
53	0.2826608818
54	0.2821649773
55	0.2817369345
56	0.2809443749
57	0.2803262799
58	0.2800435096
59	0.2798312663
60	0.2794414687
61	0.279081774
62	0.27908171
63	0.2786403913
64	0.2783913381
65	0.2778083523
66	0.2775670466
67	0.2768965954
68	0.2761591139
69	0.2757964301
70	0.275793799
71	0.2756549727
72	0.2754268373
73	0.2754082314
74	0.2751880582
75	0.2747678986
76	0.2743610687
77	0.2740598216
78	0.2739967477
79	0.2735568267
80	0.2732927577
81	0.2728427337
82	0.2727610532
83	0.2724820668
84	0.2719208956
85	0.2715016877
86	0.2714568036
87	0.2714568027
88	0.2709645437
89	0.2709645432
90	0.2706802965
91	0.2704474433
92	0.2700613913
93	0.2699106608
94	0.269826515
95	0.2696920349
96	0.2692811353
97	0.2689740649
98	0.2684005741
99	0.2682406412
100	0.2677620663
101	0.2677620641
102	0.2675232355
103	0.2673071004
104	0.2671485591
105	0.2671148339
106	0.2667141054
107	0.2664943855
108	0.2663664521
109	0.266366452
110	0.2662991606
111	0.2662104722
112	0.265855429
113	0.2656234081
114	0.2656234081
115	0.2655730393
116	0.2655315093
117	0.2655068767
118	0.2654921512
119	0.2651859744
120	0.2651190059
121	0.2647459803
122	0.2646773995
123	0.2642942969
124	0.2638918147
125	0.2633625083
126	0.2632091248
127	0.2629734087
128	0.2629427128
129	0.2624614541
130	0.2624466405
131	0.2622583266
132	0.2621351805
133	0.261818523
134	0.2617210063
135	0.2613908296
136	0.2611848165
137	0.2610894014
138	0.2607297707
139	0.2605540079
140	0.2604629656
141	0.2601611936
142	0.2597415182
143	0.2593674509
144	0.2591179933
145	0.2586647503
146	0.2581024487
147	0.2578496621
148	0.2575301744
149	0.2570453014
150	0.2564984377
151	0.2564544749
152	0.2561201882
153	0.2557890796
154	0.2555120413
155	0.2551312502
156	0.2549071455
157	0.2546105951
158	0.2540835976
159	0.2537228863
160	0.2536385468
161	0.2534392521
162	0.2531563239
163	0.25265761
164	0.2523642222
165	0.2520830063
166	0.2517010551
167	0.251307318
168	0.2507807847
169	0.2504083159
170	0.2501372777
171	0.2497456278
172	0.249348376
173	0.2489436216
174	0.2484488966
175	0.2479885746
176	0.2474872159
177	0.2471980432
178	0.2467950474
179	0.2463267504
180	0.2460642908
181	0.2456330673
182	0.2450868161
183	0.2446432358
184	0.2441799724
185	0.243579317
186	0.2431725008
187	0.2427837
188	0.2422201898
189	0.2419562479
190	0.2416216886
191	0.2411654182
192	0.2407560051
193	0.2403702902
194	0.2399838621
195	0.2394393593
196	0.2390281442
197	0.2387093757
198	0.2383026097
199	0.238000209
