iter	Passed	Remaining
0	195	38923
1	373	36927
2	585	38422
3	840	41194
4	939	36623
5	1033	33401
6	1142	31500
7	1242	29815
8	1346	28567
9	1440	27377
10	1541	26488
11	1629	25525
12	1710	24603
13	1823	24223
14	1896	23391
15	1986	22839
16	2067	22251
17	2147	21713
18	2232	21266
19	2318	20865
20	2372	20225
21	2415	19542
22	2487	19146
23	2568	18836
24	2656	18596
25	2744	18369
26	2858	18315
27	2949	18116
28	3031	17875
29	3103	17586
30	3190	17392
31	3363	17658
32	3510	17763
33	3648	17815
34	3800	17917
35	3943	17963
36	4076	17956
37	4235	18056
38	4371	18046
39	4525	18100
40	4676	18136
41	4803	18068
42	4936	18024
43	5104	18097
44	5244	18066
45	5429	18176
46	5675	18474
47	5958	18869
48	6105	18814
49	6254	18764
50	6430	18788
51	6707	19090
52	6900	19138
53	7167	19378
54	7371	19434
55	7535	19376
56	7779	19515
57	7961	19492
58	8135	19441
59	8294	19354
60	8457	19271
61	8606	19156
62	8674	18863
63	8856	18820
64	9035	18766
65	9267	18816
66	9414	18688
67	9589	18615
68	9744	18501
69	9882	18352
70	9950	18079
71	10116	17985
72	10274	17875
73	10341	17609
74	10561	17602
75	10729	17506
76	10900	17411
77	11052	17286
78	11152	17081
79	11356	17034
80	11517	16921
81	11740	16894
82	11852	16707
83	12064	16660
84	12271	16603
85	12408	16448
86	12559	16312
87	12627	16071
88	12795	15958
89	12863	15721
90	13025	15602
91	13166	15456
92	13345	15353
93	13467	15186
94	13597	15028
95	13716	14859
96	13913	14774
97	14026	14598
98	14163	14450
99	14366	14366
100	14512	14225
101	14558	13987
102	14702	13846
103	14919	13771
104	15048	13615
105	15131	13418
106	15269	13272
107	15417	13133
108	15583	13010
109	15657	12810
110	15790	12660
111	15879	12477
112	16085	12384
113	16224	12239
114	16309	12054
115	16386	11865
116	16467	11681
117	16556	11505
118	16654	11336
119	16860	11240
120	16966	11077
121	17145	10961
122	17286	10821
123	17513	10734
124	17711	10626
125	18002	10572
126	18134	10423
127	18280	10282
128	18367	10109
129	18493	9958
130	18581	9787
131	18713	9640
132	18846	9493
133	18981	9348
134	19077	9185
135	19229	9049
136	19366	8905
137	19486	8754
138	19651	8623
139	19806	8488
140	19948	8347
141	20100	8209
142	20245	8069
143	20388	7928
144	20517	7782
145	20671	7645
146	20809	7502
147	20940	7357
148	21093	7219
149	21260	7086
150	21347	6927
151	21393	6755
152	21473	6596
153	21549	6436
154	21636	6281
155	21713	6124
156	21796	5969
157	21882	5816
158	21964	5663
159	22047	5511
160	22128	5360
161	22214	5210
162	22324	5067
163	22407	4918
164	22488	4770
165	22573	4623
166	22654	4476
167	22739	4331
168	22823	4186
169	22903	4041
170	22984	3897
171	23065	3754
172	23145	3612
173	23232	3471
174	23322	3331
175	23419	3193
176	23504	3054
177	23586	2915
178	23665	2776
179	23757	2639
180	23838	2502
181	23927	2366
182	24013	2230
183	24099	2095
184	24176	1960
185	24261	1826
186	24349	1692
187	24449	1560
188	24529	1427
189	24615	1295
190	24703	1164
191	24793	1033
192	24867	901
193	24956	771
194	25041	642
195	25120	512
196	25213	383
197	25293	255
198	25380	127
199	25479	0
